date;w00;w03;w06;w09;w12;w15;w18;w21;;;;;;;;;t00;t03;t06;t09;t12;t15;t18;t21;r00;r03;r06;r09;r12;r15;r18;r21;с00;с03;с06;с09;с12;с15;с18;с21
03.06.2011;4;4;6;6;6;5;3;2;;;;;;;;;11;10;15;20;21;21;17;13;;;;;1.1;1.4;1.9;1.8;81;72;30;32;14;26;63;71
04.06.2011;3;2;2;2;2;3;2;2;;;;;;;;;10;10;14;20;22;21;19;14;;;;;;1.4;0.4;;52;63;99;76;7;10;38;21
05.06.2011;1;2;2;4;4;5;3;3;;;;;;;;;11;12;18;23;24;24;20;16;;;;;;0.4;;;;;9;9;;;11;12
06.06.2011;3;3;3;4;5;5;2;2;;;;;;;;;14;12;18;23;24;24;20;16;;;;;;;;;12;6;;;7;;37;47
07.06.2011;2;2;2;4;4;4;2;2;;;;;;;;;14;13;14;20;21;21;18;14;;0.3;2;0.3;3.5;3;1.9;0.3;45;41;97;86;88;91;75;60
08.06.2011;1;1;1;1;1;3;3;4;;;;;;;;;12;11;17;22;22;21;17;13;;;;0.8;2.3;2.9;0.6;;;;;;11;30;86;78
09.06.2011;3;2;1;1;1;2;2;2;;;;;;;;;11;11;16;24;25;24;20;14;;;;;;;;2.1;;;10;5;;23;82;78
10.06.2011;2;1;1;1;2;3;2;2;;;;;;;;;13;11;18;24;26;26;21;16;;;1.1;1.1;;;;;48;41;56;40;7;5;;9
11.06.2011;2;2;1;3;4;5;3;3;;;;;;;;;15;13;19;22;25;24;19;15;;;;;;0.3;1.7;;46;26;49;59;44;56;47;31
12.06.2011;2;3;3;4;4;6;6;5;;;;;;;;;12;11;15;18;20;17;12;8;;;;2.4;0.8;2.3;;;9;;;;36;54;42;39
13.06.2011;4;4;6;7;6;5;4;3;;;;;;;;;6;6;9;12;14;14;13;8;;;;;;;;;44;33;22;23;53;70;69;37
14.06.2011;3;3;4;5;5;4;3;2;;;;;;;;;6;5;11;15;16;16;14;8;;;;0.3;0.3;;;;;;;10;69;73;80;43
15.06.2011;2;2;2;3;3;2;1;1;;;;;;;;;4;6;13;18;20;21;18;10;;;;;;;;;;;;;29;17;10;27
16.06.2011;1;1;3;4;2;1;1;2;;;;;;;;;11;12;18;23;22;23;21;15;;;;;0.6;0.3;;;91;89;52;50;92;90;68;62
17.06.2011;2;3;2;2;2;2;1;2;;;;;;;;;13;13;18;22;23;24;20;15;;;;0.8;0.5;;;;6;7;20;14;16;27;58;66
18.06.2011;2;2;2;4;2;2;3;3;;;;;;;;;14;13;18;21;21;20;16;13;;;0.5;3.8;3.5;1.9;2.3;0.7;65;39;26;48;95;95;98;98
19.06.2011;4;4;6;6;6;7;5;4;;;;;;;;;11;10;13;14;15;16;15;12;;;;;;0.3;;;90;82;62;70;96;91;62;39
